comparator,dimension,evaluator,delta_points,ci_low,ci_high
baseline,subject_consistency,standard,1.2515,0.32880000000000004,2.088
baseline,subject_consistency,long,-0.5595,-0.7624,-0.3479
baseline,background_consistency,standard,0.308,-0.1094,0.7243999999999999
baseline,background_consistency,long,-0.1599,-0.3264,-0.0106
baseline,motion_smoothness,standard,-0.0576,-0.0869,-0.0278
baseline,motion_smoothness,long,-0.0567,-0.0839,-0.029300000000000003
baseline,dynamic_degree,standard,0.0,0.0,0.0
baseline,dynamic_degree,long,4.3011,2.5806,6.0215
baseline,aesthetic_quality,standard,0.7137,-0.3593,1.7635
baseline,aesthetic_quality,long,0.6843,-0.3027,1.6377
baseline,imaging_quality,standard,1.29,0.2916,2.4034
baseline,imaging_quality,long,1.1785,0.1652,2.317
fifo_b32,subject_consistency,standard,4.7664,3.209,6.4509
fifo_b32,subject_consistency,long,-0.7646,-1.1811,-0.3637
fifo_b32,background_consistency,standard,0.9724,0.5864,1.389
fifo_b32,background_consistency,long,-0.2203,-0.3768,-0.0629
fifo_b32,motion_smoothness,standard,-0.0668,-0.10200000000000001,-0.0308
fifo_b32,motion_smoothness,long,-0.0678,-0.1001,-0.0357
fifo_b32,dynamic_degree,standard,0.0,0.0,0.0
fifo_b32,dynamic_degree,long,6.2366,3.4409,9.2473
fifo_b32,aesthetic_quality,standard,0.7882,-0.5186,2.1519
fifo_b32,aesthetic_quality,long,0.6431,-0.47019999999999995,1.7673999999999999
fifo_b32,imaging_quality,standard,-0.2423,-2.4849,2.2831
fifo_b32,imaging_quality,long,-0.13979999999999998,-2.3479,2.3999
