task,run,evaluator,status,error,log,legacy_quality
0,baseline,quality,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_000_baseline_quality/evaluate.log,"FVD,LPIPS"
1,baseline,vbench,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_001_baseline_vbench/evaluate.log,
2,baseline,vbench-long,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_002_baseline_vbench-long/evaluate.log,
3,baseline,cut3r,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_003_baseline_cut3r/evaluate.log,
4,fifo_b16,quality,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_004_fifo_b16_quality/evaluate.log,"FVD,LPIPS"
5,fifo_b16,vbench,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_005_fifo_b16_vbench/evaluate.log,
6,fifo_b16,vbench-long,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_006_fifo_b16_vbench-long/evaluate.log,
7,fifo_b16,cut3r,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_007_fifo_b16_cut3r/evaluate.log,
8,fifo_b32,quality,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_008_fifo_b32_quality/evaluate.log,"FVD,LPIPS"
9,fifo_b32,vbench,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_009_fifo_b32_vbench/evaluate.log,
10,fifo_b32,vbench-long,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_010_fifo_b32_vbench-long/evaluate.log,
11,fifo_b32,cut3r,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_011_fifo_b32_cut3r/evaluate.log,
12,fifo_b64,quality,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_012_fifo_b64_quality/evaluate.log,"FVD,LPIPS"
13,fifo_b64,vbench,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_013_fifo_b64_vbench/evaluate.log,
14,fifo_b64,vbench-long,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_014_fifo_b64_vbench-long/evaluate.log,
15,fifo_b64,cut3r,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_015_fifo_b64_cut3r/evaluate.log,
16,fifo_b128,quality,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_016_fifo_b128_quality/evaluate.log,"FVD,LPIPS"
17,fifo_b128,vbench,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_017_fifo_b128_vbench/evaluate.log,
18,fifo_b128,vbench-long,complete,,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_018_fifo_b128_vbench-long/evaluate.log,
