run,evaluator,metric,value,n,source,calibrated
baseline,quality,LPIPS,0.591621629222515,15,/home/ab575577/memcam_results/eval_prefix_duration_curves_60s_budget_sweep/baseline/metrics.jsonl,
baseline,quality,FVD,784.9425971537707,15,/home/ab575577/memcam_results/eval_prefix_duration_curves_60s_b32/baseline/summary.json,
baseline,vbench,subject_consistency,0.8052884308463344,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_001_baseline_vbench/vbench_pry6xhlx/results_2026-09-17-11:40:46_eval_results.json,
baseline,vbench,background_consistency,0.9016168873212491,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_001_baseline_vbench/vbench_pry6xhlx/results_2026-09-17-11:40:46_eval_results.json,
baseline,vbench,motion_smoothness,0.9927109441686454,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_001_baseline_vbench/vbench_pry6xhlx/results_2026-09-17-11:40:46_eval_results.json,
baseline,vbench,dynamic_degree,1.0,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_001_baseline_vbench/vbench_pry6xhlx/results_2026-09-17-11:40:46_eval_results.json,
baseline,vbench,aesthetic_quality,0.4542244791984558,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_001_baseline_vbench/vbench_pry6xhlx/results_2026-09-17-11:40:46_eval_results.json,
baseline,vbench,imaging_quality,0.49251946846252165,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_001_baseline_vbench/vbench_pry6xhlx/results_2026-09-17-11:40:46_eval_results.json,
baseline,vbench-long,subject_consistency,0.9526085470816116,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_vbench-long__asnvg1a,
baseline,vbench-long,background_consistency,0.955235050132606,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_vbench-long__asnvg1a,
baseline,vbench-long,motion_smoothness,0.9928457301267896,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_vbench-long__asnvg1a,
baseline,vbench-long,dynamic_degree,0.9311827956989247,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_vbench-long__asnvg1a,
baseline,vbench-long,aesthetic_quality,0.4344896205650863,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_vbench-long__asnvg1a,
baseline,vbench-long,imaging_quality,0.4762679504866241,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_vbench-long__asnvg1a,
baseline,cut3r,rotation_error_deg_mean,35.56190746666667,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_cut3r_hoycgzw6,False
baseline,cut3r,translation_error_scale_only_mean,4.682331066666666,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_cut3r_hoycgzw6,False
baseline,cut3r,translation_error_sim3_mean,2.5739965333333332,15,/lustre/fs1/home/ab575577/memcam_results/matched15_metrics_60s/baseline_cut3r_hoycgzw6,False
fifo_b16,quality,LPIPS,0.6243057181320759,15,/home/ab575577/memcam_results/eval_prefix_duration_curves_60s_budget_sweep/fifo_b16/metrics.jsonl,
fifo_b16,quality,FVD,808.8162308024362,15,/home/ab575577/memcam_results/eval_prefix_duration_curves_60s_budget_sweep/fifo_b16/summary.json,
fifo_b16,vbench,subject_consistency,0.7661138829265922,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_005_fifo_b16_vbench/vbench_z8c4mnq3/results_2026-09-16-11:01:39_eval_results.json,
fifo_b16,vbench,background_consistency,0.896111319915593,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_005_fifo_b16_vbench/vbench_z8c4mnq3/results_2026-09-16-11:01:39_eval_results.json,
fifo_b16,vbench,motion_smoothness,0.9929651487355454,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_005_fifo_b16_vbench/vbench_z8c4mnq3/results_2026-09-16-11:01:39_eval_results.json,
fifo_b16,vbench,dynamic_degree,1.0,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_005_fifo_b16_vbench/vbench_z8c4mnq3/results_2026-09-16-11:01:39_eval_results.json,
fifo_b16,vbench,aesthetic_quality,0.45268136461575825,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_005_fifo_b16_vbench/vbench_z8c4mnq3/results_2026-09-16-11:01:39_eval_results.json,
fifo_b16,vbench,imaging_quality,0.512218814768334,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_005_fifo_b16_vbench/vbench_z8c4mnq3/results_2026-09-16-11:01:39_eval_results.json,
fifo_b16,vbench-long,subject_consistency,0.9556584596703067,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_006_fifo_b16_vbench-long/fifo_b16_vbench-long_c72hx217,
fifo_b16,vbench-long,background_consistency,0.9568254557675363,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_006_fifo_b16_vbench-long/fifo_b16_vbench-long_c72hx217,
fifo_b16,vbench-long,motion_smoothness,0.9930996323229927,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_006_fifo_b16_vbench-long/fifo_b16_vbench-long_c72hx217,
fifo_b16,vbench-long,dynamic_degree,0.9118279569892473,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_006_fifo_b16_vbench-long/fifo_b16_vbench-long_c72hx217,
fifo_b16,vbench-long,aesthetic_quality,0.43477764911549066,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_006_fifo_b16_vbench-long/fifo_b16_vbench-long_c72hx217,
fifo_b16,vbench-long,imaging_quality,0.49611725305605103,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_006_fifo_b16_vbench-long/fifo_b16_vbench-long_c72hx217,
fifo_b16,cut3r,rotation_error_deg_mean,47.433437866666665,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_007_fifo_b16_cut3r/fifo_b16_cut3r_2o43r3bd,False
fifo_b16,cut3r,translation_error_scale_only_mean,4.623138066666667,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_007_fifo_b16_cut3r/fifo_b16_cut3r_2o43r3bd,False
fifo_b16,cut3r,translation_error_sim3_mean,2.673291,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_007_fifo_b16_cut3r/fifo_b16_cut3r_2o43r3bd,False
fifo_b32,quality,LPIPS,0.6221724438582816,15,/home/ab575577/memcam_results/eval_prefix_duration_curves_60s_budget_sweep/fifo_b32/metrics.jsonl,
fifo_b32,quality,FVD,832.246477899537,15,/home/ab575577/memcam_results/eval_prefix_duration_curves_60s_b32/fifo_b32/summary.json,
fifo_b32,vbench,subject_consistency,0.770138990531583,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_009_fifo_b32_vbench/vbench_6vlahosp/results_2026-09-16-12:37:50_eval_results.json,
fifo_b32,vbench,background_consistency,0.8949734693382219,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_009_fifo_b32_vbench/vbench_6vlahosp/results_2026-09-16-12:37:50_eval_results.json,
fifo_b32,vbench,motion_smoothness,0.992803019668912,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_009_fifo_b32_vbench/vbench_6vlahosp/results_2026-09-16-12:37:50_eval_results.json,
fifo_b32,vbench,dynamic_degree,1.0,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_009_fifo_b32_vbench/vbench_6vlahosp/results_2026-09-16-12:37:50_eval_results.json,
fifo_b32,vbench,aesthetic_quality,0.4534789562225342,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_009_fifo_b32_vbench/vbench_6vlahosp/results_2026-09-16-12:37:50_eval_results.json,
fifo_b32,vbench,imaging_quality,0.5078425662621624,15,/lustre/fs1/home/ab575577/memcam_results/budget_metrics_60s_820776/task_009_fifo_b32_vbench/vbench_6vlahosp/results_2026-09-16-12:37:50_eval_results.json,
