duration_sec,cohort_prefix,output_basename,frames,steps,unbounded_elapsed_s,keepsake_b32_elapsed_s,hardware_matching
60,seed0_,seed0_AncientTempleEnv_5_1368_60s_custom.mp4,1825,50,6401.35,3952.51,unverified
60,seed0_,seed0_AnimeCitySuburbs_5_0608_60s_custom.mp4,1825,50,6368.28,3924.51,unverified
60,seed0_,seed0_ChemicalPlantEnv_5_3648_60s_custom.mp4,1825,50,6405.05,3915.72,unverified
60,seed0_,seed0_ClothingStore_1_0456_60s_custom.mp4,1825,50,6392.46,3905.34,unverified
60,seed0_,seed0_ClothingStore_6_2964_60s_custom.mp4,1825,50,6377.29,3900.0,unverified
60,seed0_,seed0_ContainerYard_3_3876_60s_custom.mp4,1825,50,6369.16,3916.65,unverified
60,seed0_,seed0_ContainerYard_7_1216_60s_custom.mp4,1825,50,6387.53,3927.37,unverified
60,seed0_,seed0_ContainerYard_9_2584_60s_custom.mp4,1825,50,6408.8,3923.98,unverified
60,seed0_,seed0_DragonRise_1_3420_60s_custom.mp4,1825,50,6370.63,3926.56,unverified
60,seed0_,seed0_DragonRise_9_3876_60s_custom.mp4,1825,50,6390.15,3925.98,unverified
60,seed0_,seed0_FeudalJapan_0_2888_60s_custom.mp4,1825,50,6366.23,3936.53,unverified
60,seed0_,seed0_FeudalJapan_2_0684_60s_custom.mp4,1825,50,6409.82,3929.21,unverified
60,seed0_,seed0_FeudalJapan_3_1444_60s_custom.mp4,1825,50,6403.42,3932.46,unverified
60,seed0_,seed0_IslandMap_2_0456_60s_custom.mp4,1825,50,6392.46,3920.9,unverified
60,seed0_,seed0_Warehouse_0_3496_60s_custom.mp4,1825,50,6373.23,3977.95,unverified
60,seed1_extra60s_,seed1_extra60s_AncientTempleEnv_2_4408_60s_custom.mp4,1825,50,6929.48,3936.69,unverified
60,seed1_extra60s_,seed1_extra60s_AncientTempleEnv_4_4256_60s_custom.mp4,1825,50,6515.91,3938.67,unverified
60,seed1_extra60s_,seed1_extra60s_AncientTempleEnv_6_0228_60s_custom.mp4,1825,50,6735.47,3941.92,unverified
60,seed1_extra60s_,seed1_extra60s_AncientTowns_4_0608_60s_custom.mp4,1825,50,6495.87,3940.91,unverified
60,seed1_extra60s_,seed1_extra60s_ChemicalPlantEnv_0_5548_60s_custom.mp4,1825,50,6524.39,4015.51,unverified
60,seed1_extra60s_,seed1_extra60s_ContainerYard_0_0836_60s_custom.mp4,1825,50,6646.24,3940.98,unverified
60,seed1_extra60s_,seed1_extra60s_FeudalJapan_9_2660_60s_custom.mp4,1825,50,6496.19,3916.26,unverified
60,seed1_extra60s_,seed1_extra60s_IslandMap_0_0684_60s_custom.mp4,1825,50,6486.04,3941.91,unverified
60,seed1_extra60s_,seed1_extra60s_IslandMap_6_1824_60s_custom.mp4,1825,50,6526.56,3942.28,unverified
60,seed1_extra60s_,seed1_extra60s_NYC_0_3040_60s_custom.mp4,1825,50,6527.65,4866.74,unverified
60,seed1_extra60s_,seed1_extra60s_NYC_9_3952_60s_custom.mp4,1825,50,6491.69,3918.05,unverified
60,seed1_extra60s_,seed1_extra60s_Rome_1_4028_60s_custom.mp4,1825,50,6499.14,3942.16,unverified
60,seed1_extra60s_,seed1_extra60s_Rome_3_5092_60s_custom.mp4,1825,50,6521.71,3987.31,unverified
60,seed1_extra60s_,seed1_extra60s_Rome_4_0380_60s_custom.mp4,1825,50,6523.12,3940.75,unverified
60,seed1_extra60s_,seed1_extra60s_Warehouse_2_5472_60s_custom.mp4,1825,50,6480.33,3943.39,unverified
180,seed0_,seed0_AncientTempleEnv_5_0684_180s_custom.mp4,5397,50,34966.24,11586.6,unverified
180,seed0_,seed0_AnimeCitySuburbs_5_0304_180s_custom.mp4,5397,50,34813.38,11591.39,unverified
180,seed0_,seed0_ChemicalPlantEnv_5_1824_180s_custom.mp4,5397,50,34958.22,11577.86,unverified
180,seed0_,seed0_ClothingStore_1_0228_180s_custom.mp4,5397,50,34856.9,11598.03,unverified
180,seed0_,seed0_ClothingStore_6_1444_180s_custom.mp4,5397,50,34837.57,11620.92,unverified
180,seed0_,seed0_ContainerYard_3_1900_180s_custom.mp4,5397,50,34679.62,11597.66,unverified
180,seed0_,seed0_ContainerYard_7_0608_180s_custom.mp4,5397,50,34883.79,11581.89,unverified
180,seed0_,seed0_ContainerYard_9_2204_180s_custom.mp4,5397,50,34981.19,11588.3,unverified
180,seed0_,seed0_DragonRise_1_1292_180s_custom.mp4,5397,50,35818.47,11589.4,unverified
180,seed0_,seed0_DragonRise_9_1672_180s_custom.mp4,5397,50,35892.72,11568.35,unverified
180,seed0_,seed0_FeudalJapan_0_1900_180s_custom.mp4,5397,50,35872.81,11582.97,unverified
180,seed0_,seed0_FeudalJapan_2_1444_180s_custom.mp4,5397,50,36249.06,11594.36,unverified
180,seed0_,seed0_FeudalJapan_3_2128_180s_custom.mp4,5397,50,36006.82,11592.15,unverified
180,seed0_,seed0_IslandMap_2_0304_180s_custom.mp4,5397,50,35223.92,11570.8,unverified
180,seed0_,seed0_Warehouse_0_0684_180s_custom.mp4,5397,50,35154.53,11583.93,unverified
