run,profiles,complete,incomplete,policy,budget,duration_sec,frames,bank_device,archive_frames_max,archive_rgb_peak_mib,archive_features_logical_peak_mib,host_rss_sampled_peak_gib,torch_allocated_rollout_peak_gib,torch_reserved_rollout_peak_gib,mean_rollout_s,mean_context_selection_total_s,mean_context_selection_mean_s_per_section,mean_memory_policy_update_total_s,mean_memory_policy_update_mean_s_per_section,mean_bank_store_total_s
context_180s/latency_vram_pareto/ri_b32_gpu_smoke,1,0,1,rarity_irreplaceability,32,180,5397,cuda,,,,,,,,,,,,
context_memory_60s/coverage_hysteresis_b32_t0p90_s75_r25_k3,15,15,0,coverage_hysteresis,32,60,1825,cpu,32,41.25,1.593994140625,4.737548828125,16.308743476867676,18.513671875,3936.242415153402,63.746678551009005,2.771594719609087,33.60749599999884,1.400312333333285,0.01545799958985299
context_memory_60s/density_b32_view_coverage,15,15,0,density_balanced_view_coverage,32,60,1825,cpu,32,41.25,1.593994140625,4.840507507324219,16.308743476867676,18.513671875,3855.660760542657,90.02397645478293,3.914085932816649,29.025231491968345,1.2093846454986812,0.026431936041141548
context_memory_60s/fifo_b16,15,15,0,fifo,16,60,1825,cpu,16,20.625,0.0,4.748699188232422,15.98246955871582,18.3515625,3755.9477811889724,35.16199991824105,1.5287826051409155,0.128896118948857,0.0053706716228690415,0.06021370841190219
context_memory_60s/future_view_coverage_b32_pilot,3,3,0,future_view_coverage,32,60,1825,cpu,32,41.25,1.593994140625,4.812477111816406,16.308743476867676,18.513671875,3870.708971358215,86.45607058051974,3.75895959045738,28.753530311708648,1.1980637629878603,0.03189310307304064
context_memory_60s/kcenter_b128,15,15,0,kcenter_coreset,128,60,1825,cpu,128,165.0,90.90747833251953,4.781330108642578,16.308743476867676,18.513671875,4120.743883045887,361.0404586450507,15.697411245436989,34.622717407966654,1.442613225331944,0.04504670919850469
context_memory_60s/kcenter_b16,15,15,0,kcenter_coreset,16,60,1825,cpu,16,20.625,90.90747833251953,4.825832366943359,16.308743476867676,18.513671875,3788.36290330831,43.623200419234735,1.8966608877928144,29.652223977539688,1.235509332397487,0.10603638694932063
context_memory_60s/kcenter_b32,15,15,0,kcenter_coreset,32,60,1825,cpu,32,41.25,90.90747833251953,4.865077972412109,16.308743476867676,18.513671875,3901.0292089022073,89.76612402998532,3.9028749578254485,29.97496453002095,1.2489568554175396,0.13009934419145186
context_memory_60s/kcenter_b64,15,15,0,kcenter_coreset,64,60,1825,cpu,64,82.5,90.90747833251953,4.898612976074219,16.308743476867676,18.615234375,3995.5633802074008,182.14607110212867,7.919394395744725,31.890724870717772,1.3287802029465738,0.05447414709875981
context_memory_60s/mce_b128_lambda1_pilot,15,15,0,mce,128,60,1825,cpu,128,165.0,6.375,4.760051727294922,16.308743476867676,18.513671875,4172.4611256631715,357.6443653405023,15.549755014804449,26.14249778535838,1.0892707410565992,0.3272902062162757
