member,run,scene,start_frame,policy,budget,bank_device,duration_sec,frames,observed_sections,expected_sections,status,archive_frames_max,archive_rgb_peak_mib,archive_features_logical_peak_mib,host_rss_sampled_peak_gib,torch_allocated_rollout_peak_gib,torch_reserved_rollout_peak_gib,rollout_s,context_selection_total_s,context_selection_mean_s_per_section,memory_policy_update_total_s,memory_policy_update_mean_s_per_section,bank_store_total_s,bank_store_mean_s_per_section
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_ContainerYard_7_4864_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,ContainerYard_7,4864,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.33038330078125,15.985960006713867,18.08203125,2602.6342790466733,630.1208629026078,57.28371480932798,0.0011002630926668644,9.168859105557203e-05,0.14824203215539455,0.012353502679616213
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_ContainerYard_9_1292_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,ContainerYard_9,1292,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.328403472900391,15.984880447387695,18.20703125,2603.06123770494,627.3299521049485,57.02999564590441,0.0015580318868160248,0.00012983599056800207,0.13852175185456872,0.01154347932121406
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_AncientTempleEnv_5_3420_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,AncientTempleEnv_5,3420,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.2621002197265625,15.986162185668945,18.16015625,2641.967361242976,636.1727504930459,57.83388640845872,0.0011011548340320587,9.17629028360049e-05,0.23692826321348548,0.019744021934457123
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_DragonRise_9_1292_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,DragonRise_9,1292,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.326511383056641,15.986207962036133,18.1796875,2635.69312113896,634.6658520335332,57.696895639412105,0.0011844076216220856,9.87006351351738e-05,0.14180297264829278,0.011816914387357732
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_DragonRise_1_2736_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,DragonRise_1,2736,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.326484680175781,15.985696792602539,18.14453125,2595.3632699470036,628.6933668903075,57.15394244457341,0.0011313427239656448,9.42785603304704e-05,0.141799446195364,0.011816620516280333
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_ClothingStore_6_2052_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,ClothingStore_6,2052,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.328136444091797,15.986810684204102,18.3203125,2597.96458651172,630.3101584063843,57.30092349148948,0.013787155505269766,0.0011489296254391472,0.16428397595882416,0.013690331329902014
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_FeudalJapan_3_6004_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,FeudalJapan_3,6004,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.329551696777344,15.984750747680664,18.119140625,2602.524603377562,630.4444941789843,57.31313583445312,0.0016072094440460205,0.00013393412033716837,0.14229576755315065,0.011857980629429221
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_ClothingStore_1_5624_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,ClothingStore_1,5624,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.327491760253906,15.986204147338867,17.96484375,2620.972071747761,638.8663984476589,58.078763495241716,0.0012360899709165096,0.0001030074975763758,0.1538123544305563,0.012817696202546358
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_FeudalJapan_0_0912_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,FeudalJapan_0,912,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.328624725341797,15.985658645629883,18.1171875,2606.0774292349815,632.4177062772214,57.49251875247467,0.0012079877778887749,0.00010066564815739791,0.14046025834977627,0.011705021529148022
context_memory_attention_30s/unbounded_attention_audit/profiles/seed0_Warehouse_0_2432_30s_custom.jsonl,context_memory_attention_30s/unbounded_attention_audit,Warehouse_0,2432,unbounded,,cpu,30,913,12,12,complete,913,1176.9140625,0.0,4.328983306884766,15.985696792602539,17.921875,2611.284400179982,637.6058606775478,57.96416915250434,0.0011725225485861301,9.771021238217752e-05,0.14918815391138196,0.01243234615928183
context_memory_60s/slam_b128_covisibility/profiles/seed0_Warehouse_0_3496_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,Warehouse_0,3496,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.673000335693359,16.30549907684326,18.384765625,4175.013214158826,355.2326594898477,15.444898238689031,32.00600431486964,1.3335835131195684,1.1887301849201322,0.049530424371672176
context_memory_60s/slam_b128_covisibility/profiles/seed0_DragonRise_9_3876_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,DragonRise_9,3876,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.691196441650391,16.303133964538574,18.447265625,4189.924052355811,356.97218912653625,15.520529962023316,32.1921351547353,1.3413389647806373,0.9166467445902526,0.038193614357927196
context_memory_60s/slam_b128_covisibility/profiles/seed0_ClothingStore_1_0456_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,ClothingStore_1,456,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.673439025878906,16.307581901550293,18.4765625,4180.781100752298,359.362461224664,15.624454835854957,32.44014965184033,1.3516729021600138,0.7719887564890087,0.03216619818704203
context_memory_60s/slam_b128_covisibility/profiles/seed0_ContainerYard_9_2584_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,ContainerYard_9,2584,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.675300598144531,16.305928230285645,18.447265625,4197.366745657753,358.95948009425774,15.60693391714164,31.920697229448706,1.3300290512270294,0.8153058704920113,0.03397107793716714
context_memory_60s/slam_b128_covisibility/profiles/seed0_ClothingStore_6_2964_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,ClothingStore_6,2964,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.675266265869141,16.308743476867676,18.513671875,4221.647111183964,359.01194813707843,15.609215136394715,31.88264551386237,1.3284435630775988,0.8994979904964566,0.03747908293735236
context_memory_60s/slam_b128_covisibility/profiles/seed0_FeudalJapan_3_1444_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,FeudalJapan_3,1444,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.690326690673828,16.30385112762451,18.447265625,4182.925361234229,357.8963241847232,15.560709747161878,32.05859137978405,1.3357746408243354,0.8981629540212452,0.03742345641755188
context_memory_60s/slam_b128_covisibility/profiles/seed0_ContainerYard_7_1216_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,ContainerYard_7,1216,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.692111968994141,16.303339958190918,18.447265625,4174.8079617000185,356.9773391294293,15.520753875192579,31.822093900758773,1.3259205791982822,0.9831802621483803,0.040965844256182514
context_memory_60s/slam_b128_covisibility/profiles/seed0_ContainerYard_3_3876_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,ContainerYard_3,3876,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.692054748535156,16.30391216278076,18.509765625,4180.608642460313,354.8879367848858,15.429910294995036,33.40644395258278,1.391935164690949,1.4648651834577322,0.06103604931073884
context_memory_60s/slam_b128_covisibility/profiles/seed0_DragonRise_1_3420_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,DragonRise_1,3420,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.6763153076171875,16.304789543151855,18.447265625,4168.914556425065,354.6770262522623,15.420740271837492,31.984127279371023,1.3326719699737926,0.922784361988306,0.03844934841617942
context_memory_60s/slam_b128_covisibility/profiles/seed0_FeudalJapan_0_2888_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,FeudalJapan_0,2888,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.673480987548828,16.306180000305176,18.447265625,4191.609737343155,356.1875661504455,15.486415919584587,32.20825463021174,1.3420106095921558,1.0367174004204571,0.04319655835085238
context_memory_60s/slam_b128_covisibility/profiles/seed0_IslandMap_2_0456_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,IslandMap_2,456,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.690357208251953,16.305285453796387,18.1875,4199.764305141754,357.9625009451993,15.56358699761736,31.9448349699378,1.3310347904140751,0.8696689791977406,0.03623620746657252
context_memory_60s/slam_b128_covisibility/profiles/seed0_FeudalJapan_2_0684_60s_custom.jsonl,context_memory_60s/slam_b128_covisibility,FeudalJapan_2,684,slam_covisibility,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.673500061035156,16.304789543151855,18.447265625,4179.013056308962,361.3157086893916,15.7093786386692,31.83853342710063,1.3266055594625261,0.9704232146032155,0.04043430060846731
context_memory_60s/ri_b128_dino_rgb/profiles/seed0_Warehouse_0_3496_60s_custom.jsonl,context_memory_60s/ri_b128_dino_rgb,Warehouse_0,3496,rarity_irreplaceability,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.851432800292969,16.30391216278076,18.509765625,4170.149784959387,356.671848827973,15.507471688172739,34.74497161153704,1.44770715048071,0.04047967214137316,0.0016866530058905482
context_memory_60s/ri_b128_dino_rgb/profiles/seed0_FeudalJapan_3_1444_60s_custom.jsonl,context_memory_60s/ri_b128_dino_rgb,FeudalJapan_3,1444,rarity_irreplaceability,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.824394226074219,16.307581901550293,18.4765625,4187.89594715694,360.0925239943899,15.656196695408257,38.32007100759074,1.5966696253162809,0.055777431931346655,0.0023240596638061106
context_memory_60s/ri_b128_dino_rgb/profiles/seed0_IslandMap_2_0456_60s_custom.jsonl,context_memory_60s/ri_b128_dino_rgb,IslandMap_2,456,rarity_irreplaceability,128,cpu,60,1825,24,24,complete,128,165.0,6.3759765625,4.850109100341797,16.308743476867676,18.513671875,4186.908919640351,359.72429853957146,15.640186893024847,35.018337443470955,1.4590973934779565,0.04147149156779051,0.0017279788153246045
