case,scene,angle,frames,generated_seconds,archive_frames,archive_rgb_peak_mib,archive_feature_logical_peak_mib,host_rss_sampled_peak_gib,torch_allocated_rollout_peak_gib,torch_reserved_rollout_peak_gib,retrieval_queries,retrieval_total_s,retrieval_ms_per_query,descriptor_and_update_total_s,descriptor_and_update_ms_per_section,bank_store_total_ms,rollout_s
AncientTempleEnv_5_1368_90deg,AncientTempleEnv_5,90,153,5.066666666666666,32,41.25,1.593994140625,2.5137710571289062,16.305994987487793,18.4765625,76,4.61403120495379,60.71093690728671,5.936402984429151,2968.2014922145754,4.539394751191139,332.95407175226137
AncientTempleEnv_5_1368_360deg,AncientTempleEnv_5,360,609,20.266666666666666,32,41.25,1.593994140625,3.1150856018066406,16.306836128234863,18.548828125,532,27.02528680348769,50.799411284751294,10.969136842060834,1371.1421052576043,7.557782810181379,1314.2689038421959
ContainerYard_7_1216_90deg,ContainerYard_7,90,153,5.066666666666666,32,41.25,1.593994140625,2.5340614318847656,16.305676460266113,18.52734375,76,3.521832277998328,46.339898394714844,2.676874664146453,1338.4373320732266,4.079247824847698,323.1873921332881
ContainerYard_7_1216_360deg,ContainerYard_7,360,609,20.266666666666666,32,41.25,1.593994140625,3.110027313232422,16.304219245910645,18.2890625,532,27.00636893324554,50.76385137828109,13.757931703235954,1719.7414629044943,7.699750363826752,1319.5576603007503
FeudalJapan_3_1444_90deg,FeudalJapan_3,90,153,5.066666666666666,32,41.25,1.593994140625,2.5280914306640625,16.302281379699707,18.091796875,76,3.479672644287348,45.78516637220194,2.8745932010933757,1437.2966005466878,4.314163234084845,324.85419047577307
FeudalJapan_3_1444_360deg,FeudalJapan_3,360,609,20.266666666666666,32,41.25,1.593994140625,3.1279640197753906,16.305689334869385,18.51953125,532,27.002009523566812,50.75565699918574,12.866647853981704,1608.330981747713,8.536220993846655,1316.349109526258
IslandMap_2_0456_90deg,IslandMap_2,90,153,5.066666666666666,32,41.25,1.593994140625,2.5305252075195312,16.304514408111572,18.322265625,76,3.5150636499747634,46.25083749966794,2.6750215687789023,1337.5107843894511,4.455049987882376,322.57573356991634
IslandMap_2_0456_360deg,IslandMap_2,360,609,20.266666666666666,32,41.25,1.593994140625,3.1122055053710938,16.306795597076416,18.322265625,532,27.397875482216477,51.499765944015934,10.867815796285868,1358.4769745357335,6.35527865961194,1313.2367558227852
Warehouse_0_3496_90deg,Warehouse_0,90,153,5.066666666666666,32,41.25,1.593994140625,2.5307464599609375,16.304514408111572,18.322265625,76,3.494058154989034,45.97444940775045,2.6828999845311046,1341.4499922655523,4.207550082355738,322.5490583246574
Warehouse_0_3496_360deg,Warehouse_0,360,609,20.266666666666666,32,41.25,1.593994140625,3.1082420349121094,16.306795597076416,18.322265625,532,26.614860845264047,50.02793391966926,12.48458738764748,1560.573423455935,7.293159607797861,1320.919381948188
