family,from_budget,to_budget,retention_gap_change,retrieval_gap_change,moves_left,moves_down
FIFO,16,32,-0.02088348066461257,0.018068128392316293,True,False
FIFO,32,64,-0.020744417240654234,0.020328216794608292,True,False
FIFO,64,128,-0.019501203125801614,0.017872958511546036,True,False
GeoCov,16,32,-0.01739991618239363,0.04799781333709108,True,False
GeoCov,32,64,-0.0120022606158602,0.021273417446924264,True,False
GeoCov,64,128,-0.009642878736274833,-0.0017484477032785606,True,True
K-center,16,32,-0.006788896520932508,0.011836712515872427,True,False
K-center,32,64,-0.01421619381593622,0.01192156050516216,True,False
K-center,64,128,-0.009547504221183665,0.00871218697748316,True,False
RI,16,32,-0.008586879873621299,0.02030217150847119,True,False
RI,32,64,-0.011571671176647789,0.0014321655898854313,True,False
RI,64,128,-0.01005589042020881,0.010912755822789832,True,False
