run_name,family,budget,min_section,trajectories,queries,candidate_count,retention_gap,retention_gap_ci_low,retention_gap_ci_high,retrieval_gap,retrieval_gap_ci_low,retrieval_gap_ci_high,total_oracle_gap,total_oracle_gap_ci_low,total_oracle_gap_ci_high
baseline,Unbounded,,18,15,360,1555.0,0.0,0.0,0.0,0.24826309896177715,0.19744180225663716,0.2984922643336985,0.24826309896177715,0.19744180225663716,0.2984922643336985
fifo_b128,FIFO,128,18,15,360,124.0,0.14832074145476024,0.10318724664135114,0.19551836511741078,0.10533879432413312,0.08281503864046601,0.13350192686335907,0.2536595357788934,0.19933965319146715,0.3087213831726048
fifo_b16,FIFO,16,18,15,360,12.0,0.21639861994319493,0.163070510543055,0.27060547216898867,0.03963404794534047,0.032951792946292295,0.04665905873808596,0.2560326678885354,0.20205511769072884,0.3097563343577915
fifo_b32,FIFO,32,18,15,360,28.0,0.19424294796254898,0.1444400487219294,0.244519740169247,0.06086977206998402,0.047149145565927024,0.07738947082310915,0.255112720032533,0.20171164015101062,0.30903358502520456
fifo_b64,FIFO,64,18,15,360,60.0,0.1715258244011137,0.12298313071330388,0.2209096268730031,0.08396156777938207,0.06375398765835498,0.11070496914287405,0.25548739218049576,0.20006989222019908,0.31151585598372755
kcenter_b128,K-center,128,18,15,360,127.0,0.01682642185025745,0.009885954600241447,0.025449080487920165,0.22916260742478897,0.17889380898326634,0.27890472705993385,0.24598902927504646,0.19497011733137898,0.29705694907655317
kcenter_b16,K-center,16,18,15,360,14.933333333333335,0.056649141179190746,0.03862788581599792,0.07479288630601433,0.18410703870985243,0.13810553352451987,0.23169600695371623,0.24075617988904321,0.19487594501425823,0.2853711891960767
kcenter_b32,K-center,32,18,15,360,30.977777777777774,0.052343700329462686,0.038642591167655255,0.06646267330067024,0.19880290975173315,0.1481142619293597,0.2526980032730433,0.2511466100811959,0.20086717759155565,0.301384570379224
kcenter_b64,K-center,64,18,15,360,63.0,0.03230776339769363,0.022729224024547467,0.0421838643360469,0.21710860050386854,0.16908437194509637,0.26431883433626757,0.24941636390156216,0.2008675997083386,0.29651971041328373
mce_b128_lambda1_pilot,mce b128 lambda1 pilot,128,18,15,360,126.24444444444444,0.037939710252814826,0.02053459942754772,0.06119089691589273,0.20673159112532932,0.15858792090167603,0.2538577513396739,0.24467130137814416,0.19365010889454018,0.29432308567066984
mce_b16_lambda1_pilot,mce b16 lambda1 pilot,16,18,15,360,14.922222222222222,0.05975596987538867,0.04269225930588113,0.07590901220010385,0.19614580257071387,0.144240288225313,0.24855870925717885,0.25590177244610257,0.20592081647780203,0.30643194217648767
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,18,15,360,30.533333333333335,0.048484625253412454,0.0345327472852336,0.06227104823622439,0.19090184022982915,0.14404089774108597,0.23824212426112754,0.23938646548324158,0.19033689512974686,0.2863705763386355
mce_b64_lambda1_pilot,mce b64 lambda1 pilot,64,18,15,360,62.38888888888889,0.03195976167917251,0.021032137419614527,0.04333391362180312,0.21509559353192648,0.16436293916569816,0.26559053827077145,0.24705535521109898,0.19823967423703934,0.29474963042471136
ri_b128_dino_rgb,RI,128,18,15,360,126.85555555555555,0.022549007501867082,0.01533056876725621,0.030328473237653572,0.21960763070318434,0.1705808051592774,0.2688382862798041,0.24215663820505143,0.19398988850828675,0.2894916417532496
ri_b16_dino_rgb,RI,16,18,15,360,14.97777777777778,0.04917435000340144,0.03264032852732473,0.06749951590680413,0.19055288698938158,0.1343355070385668,0.24947560167974892,0.239727236992783,0.18464505350424182,0.29667221446004177
ri_b32_dino_rgb,RI,32,18,15,360,30.966666666666665,0.0415887787938118,0.026127719837758277,0.057245879053241674,0.2260354267226325,0.17373778424743153,0.2805301086356242,0.26762420551644434,0.2164861712811722,0.321752372317844
ri_b64_dino_rgb,RI,64,18,15,360,62.94444444444444,0.031717790497673884,0.018912993263867167,0.04687325195305877,0.21842377947436437,0.15882086848633153,0.2786019804204503,0.2501415699720383,0.1964376773229904,0.30414185056669846
slam_b128_covisibility,GeoCov,128,18,15,360,126.86666666666666,0.015748901002936893,0.008990193584726918,0.0233815676263637,0.2365608458717664,0.1833659887106882,0.2938879014924168,0.2523097468747033,0.20295567892491817,0.30558872446417806
slam_b16_covisibility,GeoCov,16,18,15,360,14.977777777777778,0.05837672932280435,0.03889403338233629,0.07905717539704508,0.1498043460978402,0.09793952758527465,0.20689610203107195,0.20818107542064454,0.14546791644146045,0.2748188960345255
slam_b32_covisibility,GeoCov,32,18,15,360,30.966666666666665,0.04077777117490769,0.02721265809403525,0.056013155778249106,0.20435883816745548,0.14064643340806166,0.2737774143409397,0.24513660934236317,0.17857448610580634,0.31654883552756574
slam_b64_covisibility,GeoCov,64,18,15,360,62.91111111111112,0.027734583450688258,0.01856105481998788,0.03716498419228527,0.22754376282294592,0.17902354762372044,0.2817322495828073,0.25527834627363416,0.20790241255114478,0.30810679966790805
