run_name,family,budget,row,scene,queries,retention_gap,retrieval_gap,total_oracle_gap,candidate_count
baseline,Unbounded,,3,AncientTempleEnv_5,24,0.0,0.3665941208600998,0.3665941208600998,1555.0
baseline,Unbounded,,8,AnimeCitySuburbs_5,24,0.0,0.14473576843738556,0.14473576843738556,1555.0
baseline,Unbounded,,13,ChemicalPlantEnv_5,24,0.0,0.25803615152835846,0.25803615152835846,1555.0
baseline,Unbounded,,18,ClothingStore_1,24,0.0,0.2627650648355484,0.2627650648355484,1555.0
baseline,Unbounded,,23,ClothingStore_6,24,0.0,0.09197643399238586,0.09197643399238586,1555.0
baseline,Unbounded,,28,ContainerYard_3,24,0.0,0.11627929160992305,0.11627929160992305,1555.0
baseline,Unbounded,,33,ContainerYard_7,24,0.0,0.13759389768044153,0.13759389768044153,1555.0
baseline,Unbounded,,38,ContainerYard_9,24,0.0,0.2265856439868609,0.2265856439868609,1555.0
baseline,Unbounded,,43,DragonRise_1,24,0.0,0.27781256039937335,0.27781256039937335,1555.0
baseline,Unbounded,,48,DragonRise_9,24,0.0,0.4220947002371152,0.4220947002371152,1555.0
baseline,Unbounded,,53,FeudalJapan_0,24,0.0,0.15984193980693817,0.15984193980693817,1555.0
baseline,Unbounded,,58,FeudalJapan_2,24,0.0,0.3992322062452634,0.3992322062452634,1555.0
baseline,Unbounded,,63,FeudalJapan_3,24,0.0,0.30929624537626904,0.30929624537626904,1555.0
baseline,Unbounded,,68,IslandMap_2,24,0.0,0.30437354495127994,0.30437354495127994,1555.0
baseline,Unbounded,,73,Warehouse_0,24,0.0,0.2467289144794146,0.2467289144794146,1555.0
fifo_b128,FIFO,128,3,AncientTempleEnv_5,24,0.29051602880160016,0.08224690705537796,0.3727629358569781,124.0
fifo_b128,FIFO,128,8,AnimeCitySuburbs_5,24,0.07684938112894694,0.07210818926493327,0.14895757039388022,124.0
fifo_b128,FIFO,128,13,ChemicalPlantEnv_5,24,0.13111265500386557,0.13792716960112253,0.2690398246049881,124.0
fifo_b128,FIFO,128,18,ClothingStore_1,24,0.14808616787195206,0.10785653442144394,0.255942702293396,124.0
fifo_b128,FIFO,128,23,ClothingStore_6,24,0.03314426292975744,0.056312198440233864,0.0894564613699913,124.0
